numpoliza,numorden,rutbeneficiario,dvrutbeneficiario,apellidopaterno,apellidomaterno,nombres,sexo,tipobeneficiario,situacioninvalidez,fechanacimiento,edad,numdependentes,fechafallecimiento,fechainvalidez,derechopension,requisitopension,relacionhijomadre,fechanacimientohijomenor,derechoacrecer,porcentajepension,pensionpersona
45878385,1323856908,15053228,4,,,,F,51,N,,0,0,,,90,8,,,,,
57469999,1365517598,19911584,2,,,,M,11,P,,0,0,,,20,1,,,,,
49774415,1324899073,14648177,7,,,,F,41,T,,0,0,,,10,8,,,,,
46857201,2101137601,10020998,3,,,,M,11,N,,0,0,,,10,8,,,,,
8615482,1741314291,20693620,7,,,,F,77,N,,0,0,,,10,7,,,,,
976646,1078930514,25476212,1,,,,F,20,T,,0,0,,,20,1,,,,,
30247450,1777215503,10187617,1,,,,M,77,N,,0,0,,,20,5,,,,,
95874193,1486331817,12860262,2,,,,F,50,T,,0,0,,,10,5,,,,,
30432910,1099486524,9818321,4,,,,F,11,P,,0,0,,,90,4,,,,,
8440443,2100132581,14416566,6,,,,M,42,P,,0,0,,,20,6,,,,,
41656044,1959913735,26332413,7,,,,M,51,N,,0,0,,,90,8,,,,,
57537305,1943041920,24624417,8,,,,F,21,N,,0,0,,,90,1,,,,,
88570402,1706608746,11108673,7,,,,F,30,P,,0,0,,,20,2,,,,,
37055921,1847798897,21926058,5,,,,M,10,P,,0,0,,,90,1,,,,,
91173018,1939728172,23228569,7,,,,F,50,P,,0,0,,,90,8,,,,,
73329578,1092016988,7951981,6,,,,M,10,P,,0,0,,,20,5,,,,,
7786390,1713492062,16934446,2,,,,F,52,N,,0,0,,,20,5,,,,,
33439942,1899572334,12940478,1,,,,M,51,N,,0,0,,,20,7,,,,,
53020499,1584635880,27460794,4,,,,M,52,T,,0,0,,,10,5,,,,,
65726945,2019466326,21612711,4,,,,F,52,P,,0,0,,,90,7,,,,,
78565751,1500507380,21764751,3,,,,M,30,N,,0,0,,,90,1,,,,,
9948896,1433845696,26683792,2,,,,F,30,T,,0,0,,,20,5,,,,,
79082219,1624986413,20052939,3,,,,F,52,N,,0,0,,,10,4,,,,,
74094904,1926163664,11156561,7,,,,F,,P,,0,0,,,90,1,,,,,
88182688,1823167611,19548082,4,,,,F,10,P,,0,0,,,20,1,,,,,
33434905,1386343446,26105680,6,,,,F,10,P,,0,0,,,90,8,,,,,
71303058,2035667096,11307364,1,,,,M,20,N,,0,0,,,90,8,,,,,
55540505,1421951222,22505308,6,,,,F,41,N,,0,0,,,20,4,,,,,
31638304,1767114807,24970377,7,,,,F,20,P,,0,0,,,20,7,,,,,
79892913,1041725209,25503369,3,,,,F,77,P,,0,0,,,10,1,,,,,
99490997,1274140014,14579725,8,,,,M,41,N,,0,0,,,90,2,,,,,
15272645,1554732451,25494016,2,,,,F,,N,,0,0,,,10,1,,,,,
